Reference Code,Title (Eng),Title (TC),Business Needs / Challenges (Eng),Business Needs / Challenges (TC),Expected Outcomes (Eng),Expected Outcomes (TC),Application Areas,Technologies to be Used,Model Input
N-0019,Implementation of Food Coding System ,推行食物編碼系統,"To develop an online computer system to facilitate food traders to enquire the food codes of import food items in anticipation of the requirement for traders to provide food codes upon implementation of Trade Single Window (TSW).
There is no food classification or coding system for use by food importers to classify food systematically for the purpose of data collection for food safety control.  Without a coding system to facilitate classification of the food by back-end system, it would be difficult to use data collected for food safety analysis and risk profiling.","開發一個線上電腦系統，方便食品貿易商查詢進口食品的食品編碼，以期貿易商在實施貿易單一窗口時提供食物編碼。
沒有食品分類或編碼系統供食品進口商用於系統地對食品進行分類，以便進行食品安全控制的數據收集。如果沒有編碼系統來促進後台系統對食品的分類，就很難使用收集的數據進行食品安全分析和風險測試。","The following functions are expected:
i. Form a centralized electronic database to store the food classification and coding for import food control and for shared use of data among the relevant IT systems;
ii. Build an on-line application to maintain the food classification and coding; and
iii. Build an on-line tool and search engine with pre-defined rules to facilitate the food importers and users to select the appropriate food codes.","預期將提供以下功能：
i. 形成一個統一電子數據庫，用於存儲進口食品控制的食品分類和編碼，以及相關資訊系統共享數據；
ii.建立聯線應用程序以維護食品分類和編碼；及
iii.使用預定的規則構建連線工具和搜索引擎，以方便食品進口商和用戶選擇適當的食品編碼。","Food
","Data Analytics
Robotic Process Automation
","Implementation of Food Coding System . To develop an online computer system to facilitate food traders to enquire the food codes of import food items in anticipation of the requirement for traders to provide food codes upon implementation of Trade Single Window (TSW).
There is no food classification or coding system for use by food importers to classify food systematically for the purpose of data collection for food safety control.  Without a coding system to facilitate classification of the food by back-end system, it would be difficult to use data collected for food safety analysis and risk profiling.. The following functions are expected:
i. Form a centralized electronic database to store the food classification and coding for import food control and for shared use of data among the relevant IT systems;
ii. Build an on-line application to maintain the food classification and coding; and
iii. Build an on-line tool and search engine with pre-defined rules to facilitate the food importers and users to select the appropriate food codes."
N-0020,Proof of concept of Computerized Training System for Incident Command System,概念驗證事故現場指揮訓練系統,To enhance training efficiency for different levels of Incident Commanders in the department by using computer system together with the Virtual Reality training software (XVR) for incidents and ground management of large-scale incidents.,通過結合電腦系統與虛擬現實培訓軟件，用於大型事故的事故和地面管理，提高部門不同級別的事故指揮官的培訓效率。,The proposed computerized training module should be able to simulate different incident scenarios with flexibility by configuration within a reasonable time frame as well as to have better control to ensure users are able to get things done more quickly to get familiarize with the proposed system.  The proposed system should also be able to facilitate in monitoring and evaluation of the training results.,建議的訓練系統應該能夠在合理的時間範圍內通過配置靈活地模擬不同的事故場景，並且能夠更好地控制以確保用戶能夠更快地完成工作以熟悉系統。建議的訓練系統還必須能夠便於監測和評估培訓結果。,"Education
Law and Security
","Data Analytics
Virtual Reality
",Proof of concept of Computerized Training System for Incident Command System. To enhance training efficiency for different levels of Incident Commanders in the department by using computer system together with the Virtual Reality training software (XVR) for incidents and ground management of large-scale incidents.. The proposed computerized training module should be able to simulate different incident scenarios with flexibility by configuration within a reasonable time frame as well as to have better control to ensure users are able to get things done more quickly to get familiarize with the proposed system.  The proposed system should also be able to facilitate in monitoring and evaluation of the training results.
N-0021,Proof-of-Concept (PoC) for anti-bot solution,防止自動電腦程式概念驗證,"Some departments are currently providing services to the general public through on-line systems. As the services are in great demand, we are facing a challenge of guarding against automated access to these online systems through bot programs. We are therefore looking for an innovative and effective anti-bot solution for our on-line systems. The solution provider shall provide a proof-of-concept (PoC) of its solution in the departments' environments to demonstrate its capability of identifying and preventing bot accesses from the internet. The solution and the testing of PoC must fulfill the government IT security policy and guidelines. Considering sensitive information might be involved, on-premises solutions are preferred.",目前有些部門向市民提供在線系統服務。由於市民對這些服務需求很大，部門在防止電腦程式自動登入系統面臨著挑戰。 因此，我們正在尋求創新和有效的反電腦程式解決方案。解決方案供應商必需在部門環境中提供其解決方案的概念驗證（PoC），以展示其識別和防止來自互聯網的電腦程式的能力。PoC的解決方案和測試必須符合政府資訊保安政策和指引。考慮到可能涉及敏感信息，解決方案以部門內部安裝為首選。,"The PoC should comprise two parts.  The first part of the PoC should be conducted on testing environment for demonstration of its capabilities on anti-bot and no implication on the normal operations.  The second part of the PoC should be conducted on the production environment of the system to show the effectiveness on blocking the real bots being used for on-line system.  It is expected that the bots would evolve in response to the anti-bot solution.  Thus, this part of PoC should be conducted on the production environment for at least 4 consecutive weeks to demonstrate its capabilities on blocking evolving bots.",PoC應包括兩部分。PoC的第一部分在測試環境中進行，以展示其在防止自動電腦程式方面的能力，而不會影響正常的操作。PoC的第二部分應該在系統的生產環境中進行，以顯示其防止自動電腦程式方面的的有效性。預計自動電腦程式會隨解決方案而發展，因此，PoC的這一部分應該在生產環境中至少進行連續4週，以展示其阻止不斷發展的自動電腦程式之能力。,"Commerce and Industry
Development
Education
Infrastructure
Law and Security
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Machine Learning
Anti-bot technology
","Proof-of-Concept (PoC) for anti-bot solution. Some departments are currently providing services to the general public through on-line systems. As the services are in great demand, we are facing a challenge of guarding against automated access to these online systems through bot programs. We are therefore looking for an innovative and effective anti-bot solution for our on-line systems. The solution provider shall provide a proof-of-concept (PoC) of its solution in the departments' environments to demonstrate its capability of identifying and preventing bot accesses from the internet. The solution and the testing of PoC must fulfill the government IT security policy and guidelines. Considering sensitive information might be involved, on-premises solutions are preferred.. The PoC should comprise two parts.  The first part of the PoC should be conducted on testing environment for demonstration of its capabilities on anti-bot and no implication on the normal operations.  The second part of the PoC should be conducted on the production environment of the system to show the effectiveness on blocking the real bots being used for on-line system.  It is expected that the bots would evolve in response to the anti-bot solution.  Thus, this part of PoC should be conducted on the production environment for at least 4 consecutive weeks to demonstrate its capabilities on blocking evolving bots."
N-0022,Transfer of Trademark Ownership,商標註冊的轉讓,"With the immutability feature of blockchain technology, the government is considering the adoption of the technology to store the  recordal of the transfer of trademark ownership onto the distributed ledger to facilitate relevant parties (such as the assignor and assignee) and their agents to receive and access the relevant information.",政府嘗試利用區塊鏈技術，透過其不可被篡改的特性，將商標註冊轉讓的紀錄及相關資料載於區塊鏈上，以方便有關人士（如商標原擁有人和新擁有人）及其代理人接收及查閱相關資料。,The Proof-of-Concept trial would facilitate the department in understanding better the strengths and weaknesses of blockchain technology in order for us to consider applying it suitably to different business areas of the department.,我們預期有關試點項目將有助相關部門更有效地了解區塊鏈技術的優點和缺點，讓我們能考慮將有關技術運用於部門不同的業務領域。,"Commerce and Industry
","Blockchain
","Transfer of Trademark Ownership. With the immutability feature of blockchain technology, the government is considering the adoption of the technology to store the  recordal of the transfer of trademark ownership onto the distributed ledger to facilitate relevant parties (such as the assignor and assignee) and their agents to receive and access the relevant information.. The Proof-of-Concept trial would facilitate the department in understanding better the strengths and weaknesses of blockchain technology in order for us to consider applying it suitably to different business areas of the department."
N-0023,Online operational status monitoring for water dispensers installed in government venues,政府場地飲水機線上運作狀態監測系統,"A department plans in developing a centralized system for collection of operational data of new water dispensers to be installed in government venues (including both indoor and outdoor venues).  Aligning with Government's pro-innovation policy, the operational data should be collected automatically and transmitted to the centralized system through WiFi or mobile network connection.  To facilitate the public to use the new water dispensers, the location and operational status of such water devices should be displayed on an online platform (e.g. mobile app or webpage) for browsing by the public.",部門計劃開發一個中央系統，以收集在政府場地(包括室內及室外場地)的新型飲水機運作數據。為配合政府有利創新的政策，新的中央系統應可以透過Wifi或流動網絡收集自動記錄在各飲水機的運作數據，而飲水機的位置及其運作狀態應上載到在線上平台(例如手機應用程式或網頁)供公眾瀏覽，以方便公眾使用新的飲水機。,"The public would be able to browse the operational status of new water dispensers to be installed at government venues through an online platform.  The operational data of water dispensers would be used to facilitate scheduling of maintenance services (regular replacement of filters/UV light or ad-hoc on-site servicing, etc.).",公眾將可以透過線上平台瀏覽安裝在政府場地的新型飲水機的運作狀態。這些運作數據亦可幫助安排維修服務(如定期更換濾芯/紫外光燈，或緊急上門維修等。),"City Management
Health
","Data Analytics
Internet of Things (IoT)
Mobile Technologies
Predictive Analytics
","Online operational status monitoring for water dispensers installed in government venues. A department plans in developing a centralized system for collection of operational data of new water dispensers to be installed in government venues (including both indoor and outdoor venues).  Aligning with Government's pro-innovation policy, the operational data should be collected automatically and transmitted to the centralized system through WiFi or mobile network connection.  To facilitate the public to use the new water dispensers, the location and operational status of such water devices should be displayed on an online platform (e.g. mobile app or webpage) for browsing by the public.. The public would be able to browse the operational status of new water dispensers to be installed at government venues through an online platform.  The operational data of water dispensers would be used to facilitate scheduling of maintenance services (regular replacement of filters/UV light or ad-hoc on-site servicing, etc.)."
N-0024,IoT outdoor sensors for detecting real-time parking occupancy,應用物聯網的戶外感應器以偵測實時泊車位的佔用情況,"The sensors in need shall be easy-to-install, cost-effective, suitable for use in remote outdoor areas, of high accuracy in detecting small vehicles such as motorcycles and require minimal maintenance.",項目所需的感應器有下列要求: 安裝簡單、具成本效率、適合於戶外偏遠地區使用、能準確偵測小型車輛包括電單車、並只需要基本維修。,,,"Transport
","Internet of Things (IoT)
","IoT outdoor sensors for detecting real-time parking occupancy. The sensors in need shall be easy-to-install, cost-effective, suitable for use in remote outdoor areas, of high accuracy in detecting small vehicles such as motorcycles and require minimal maintenance.. "
N-0025,Air-conditioner Water Dripping Detection System in High-rise Buildings,高層建築物冷氣機滴水檢測系統,"This project aims to assist the department in identifying the locations of dripping air-conditioners in high-rise buildings when handling complaints of nuisance or environmental hygiene caused by water dripping from air-conditioners.
The detection system should also have the capacity to take photos and inform the department if needed.","項目旨在檢測和識別高層建築物冷氣機滴水的位置，協助部門處理冷氣機滴水引致的滋擾投訴和環境衞生問題。
有需要時，檢測系統須拍照及通知相關部門。",Development of a detection system for dripping air-conditioners in high-rise buildings.,研發針對高樓大廈冷氣機滴水的檢測系統,"Environment
Health
",,"Air-conditioner Water Dripping Detection System in High-rise Buildings. This project aims to assist the department in identifying the locations of dripping air-conditioners in high-rise buildings when handling complaints of nuisance or environmental hygiene caused by water dripping from air-conditioners.
The detection system should also have the capacity to take photos and inform the department if needed.. Development of a detection system for dripping air-conditioners in high-rise buildings."
N-0026,Alerting Notification Service,警示通知服務,"At present, the public (individuals or companies) can subscribe alerting notifications from the Government on various areas, e.g. food safety, outbound travel, and change of registered records.  As blockchain is one of the emerging technologies in today's world, we aim at exploring the applicability of providing another means of notifications via the blockchain technology that also enables system automation for processing the notifications without manual interactions.",目前，公眾（個人或公司）可以訂用政府的各種警示通知，例如：外遊警示、食品安全警示和註冊記錄變更警示。由於區塊鏈技術是現今新興科技之一，我們嘗試利用區塊鏈技術，試行透過有關技術提供另一電子通知渠道，以期研究區塊鏈技術的可用性。同時，還提供自動化的方法，無需人手處理警示通知。,"We envisage that the Proof-of-Concept trial would enhance the knowledge and understanding on the applicability, benefits, limitations of blockchain technology and would foster the identification of more relevant use cases that can adopt blockchain technology more suitably in order to provide better e-government services in future.",我們預期有關試點項目能加強對採用區塊鏈技術的適用性、效益和局限性的認識和了解，以便在未來日子能識別更適合的用例，以提供更優質的電子政府服務。,"Commerce and Industry
","Blockchain
","Alerting Notification Service. At present, the public (individuals or companies) can subscribe alerting notifications from the Government on various areas, e.g. food safety, outbound travel, and change of registered records.  As blockchain is one of the emerging technologies in today's world, we aim at exploring the applicability of providing another means of notifications via the blockchain technology that also enables system automation for processing the notifications without manual interactions.. We envisage that the Proof-of-Concept trial would enhance the knowledge and understanding on the applicability, benefits, limitations of blockchain technology and would foster the identification of more relevant use cases that can adopt blockchain technology more suitably in order to provide better e-government services in future."
N-0028,Advanced Technology in Detection of Leakage in Embedded Drainage Pipe,隱藏式排水渠滲漏檢測技術,This project aims to assist a department in identifying leakage in embedded drainage pipe when handling complaints of seepage nuisance and environmental hygiene problem other than using colour water test.,項目旨在使用新技術檢測水的位置，有別於現時所使用的色水測試，以協助部門處理滲水滋擾投訴和環境衞生問題。,Development of advanced technology in detection of leakage in embedded drainage pipe to ascertain seepage source.,研發隱藏式排水渠滲漏檢測技術以確定滲水源頭,"Environment
Health
",,Advanced Technology in Detection of Leakage in Embedded Drainage Pipe. This project aims to assist a department in identifying leakage in embedded drainage pipe when handling complaints of seepage nuisance and environmental hygiene problem other than using colour water test.. Development of advanced technology in detection of leakage in embedded drainage pipe to ascertain seepage source.
N-0029,Mobile Version of Geospatial Information Hub (mGIH),流動版地理空間信息樞紐,"By adopting advanced geospatial data processing techniques and new technologies to develop a web-based dissemination and application system for effective use of advanced geospatial data models/datasets on various aspects in the government, including land administration, land and engineering surveying, construction management, rescue, transportation, heritage conservation, consultation and other decision makings.",通過採用先進的地理空間數據處理技術和創新科技，開發基於網絡的傳播和應用系統，有效利用政府的先進地理空間數據模型/數據集，包括土地管理、土地和工程測量、施工管理、救援、交通、文物保護、諮詢和其他決策。,"The proposed system should provide following functions:
I. To implement web-based geo-visualization tools/viewers for view and discovery of various types of advanced geospatial data, including:
(a) meshed models from geo-referenced imagery;
(b) 3D point-cloud data from geo-referenced imagery and 3D laser scanners;
(c) complex geometric networks composed of discrete nodes and arcs; and
(d) structural data from geo-referenced imagery.
II. To implement geoprocessing engine for data format conversion, including commonly used open and commercial data formats; and
III. To interface with 2D/3D map interfaces for better visualization effects.","系統應提供以下功能：
I. 實現基於互聯網的地理可視化工具/查看器，以查看和發現各種類型的地理空間數據，包括：
(a) 來自地理參考圖像的網格模型;
(b) 來自地理參考圖像和三維激光掃描儀的三維點雲數據;
(c) 由離散節點和弧組成的複雜幾何網絡; 和
(d) 來自地理參考圖像的結構數據。
II. 實現地理處理引擎進行數據格式轉換，包括常用的開放和商業數據格式; 及
III. 與二維/三維地圖界面連接以獲得更好的可視化效果。","City Management
Development
Infrastructure
","Mobile Technologies
Virtual Reality
GIS
","Mobile Version of Geospatial Information Hub (mGIH). By adopting advanced geospatial data processing techniques and new technologies to develop a web-based dissemination and application system for effective use of advanced geospatial data models/datasets on various aspects in the government, including land administration, land and engineering surveying, construction management, rescue, transportation, heritage conservation, consultation and other decision makings.. The proposed system should provide following functions:
I. To implement web-based geo-visualization tools/viewers for view and discovery of various types of advanced geospatial data, including:
(a) meshed models from geo-referenced imagery;
(b) 3D point-cloud data from geo-referenced imagery and 3D laser scanners;
(c) complex geometric networks composed of discrete nodes and arcs; and
(d) structural data from geo-referenced imagery.
II. To implement geoprocessing engine for data format conversion, including commonly used open and commercial data formats; and
III. To interface with 2D/3D map interfaces for better visualization effects."
N-0030,Process meteorological data to provide urban-scale weather forecasting products,處理氣象數據提供城市規模的天氣預報,To develop a meteorological data processing system (MetDPS) for processing the meteorological data collected from the weather sensors installed at around 80 lampposts to make real-time weather measurements. ,開發一個氣象數據處理系統（MetDPS），以處理從安裝在大約80個燈柱上的氣象傳感器收集的氣象數據，以進行實時天氣測量。,"The new infrastructures will bring benefits to areas including: (a) in-house development of new data processing modules that can accommodate and process more observational data from the Pilot Multi-functional Smart Lampposts Scheme and forecast data from computer weather forecasting models, and (b) the development of more sophisticated post-processing methods to enhance the local site-specific weather information and forecast services with more forecast locations.",新的基礎設施將為以下領域帶來好處：（a）內部開發新的數據處理模塊，可以容納和處理來自多功能智慧燈柱試驗計劃的更多觀測數據，並預測計算機天氣預報模型的數據，以及（b）開發更複雜的後續處理方法，以增加當地特定場地的天氣資訊和預報服務，並提供更多預測位置。,"City Management
Climate and Weather
Environment
","Data Analytics
Predictive Analytics
","Process meteorological data to provide urban-scale weather forecasting products. To develop a meteorological data processing system (MetDPS) for processing the meteorological data collected from the weather sensors installed at around 80 lampposts to make real-time weather measurements. . The new infrastructures will bring benefits to areas including: (a) in-house development of new data processing modules that can accommodate and process more observational data from the Pilot Multi-functional Smart Lampposts Scheme and forecast data from computer weather forecasting models, and (b) the development of more sophisticated post-processing methods to enhance the local site-specific weather information and forecast services with more forecast locations."
N-0031,Enhancement of Operational Efficiency at the Government Data Centre Complex,加強政府數據中心大樓的業務效率,"There are many data from daily operations of data centres including environment data, weather data, thermal and air flow data, energy usage data, visitors access log data, facilities status data, IT equipment specification data, workload data, etc.  With suitable sensor devices to capture data and through the data analytics of the data collected and the correlations among data, data modelling can be formulated for better energy efficiency modelling and projection, physical security monitoring and data centre facilities management.",數據中心日常運營的數據很多，包括環境數據、天氣數據、溫濕度和空氣流量數據、能源使用數據、訪客訪問日誌數據、設施狀態數據、資訊科技設備規格數據和工作量數據等。利用感應器收集數據並通過數據和數據相關性分析，從而建立數據模型，以實現更好的能源效益模型和估算、實體保安監察以及數據中心設施管理。,"To develop data modelling for better energy efficiency, physical security monitoring and data centre facilities management of the Complex through the data analytics of the daily operations data of data centres.",通過數據中心日常運營數據的數據分析並建立數據模型，以提高能源效益、實體保安監察和數據中心設施管理。,"Infrastructure
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Predictive Analytics
","Enhancement of Operational Efficiency at the Government Data Centre Complex. There are many data from daily operations of data centres including environment data, weather data, thermal and air flow data, energy usage data, visitors access log data, facilities status data, IT equipment specification data, workload data, etc.  With suitable sensor devices to capture data and through the data analytics of the data collected and the correlations among data, data modelling can be formulated for better energy efficiency modelling and projection, physical security monitoring and data centre facilities management.. To develop data modelling for better energy efficiency, physical security monitoring and data centre facilities management of the Complex through the data analytics of the daily operations data of data centres."
N-0032,Protection of Internet-facing eServices against Distributed Denial of Service Attacks,為互聯網電子服務提供分布式拒絕服務攻擊,"Government departments will have more and more public facing websites / web applications for serving the public with some of them being critical services requiring high availability and would have great impact to the government and/or public should there be outage of their services.  Distributed Denial of Services (DDOS) is a category of attack which can bring down services by techniques as simple as bandwidth flooding to more sophisticated attack at the application layer level.  We want to source anti-DDOS solutions to protect government websites / web applications against various types of DDOS attack.   Since some web applications carry sensitive information, the anti-DDOS solutions required should not rely on transmission, processing or storage of any transaction data (unencrypted or encrypted) on public clouds.",政府部門將提供更多面向公眾的網上服務，部份重要服務需要有高可用性，因為這些服務的停運將帶來公眾的不便。分布式拒絕服務攻擊是一種導致網上服務停運的攻擊，方法包括簡單的利用高流量導致網絡擠塞或者針對應用程式的弱點。我們希望引入保護這類攻擊的解決方案。因為政府的服務可能涉及敏感資料，這些解決方案不可以依賴公共雲傳輸，處理或儲存受加密或未受加密的資料。,"We expect the solutions can protect public facing websites and web applications of government departments against DDOS attack in short response time to prevent interruption or outage of services.  Moreover, the proposed solution is expected to ensure protection of sensitive data and prevent data leakage to parties other than the senders and the application owners. ",我們預期這些解決方案可保障政府的網上服務在被攻擊時於短時間恢復。而且可避免服務涉及的敏感資料不會外泄。,"Infrastructure
","Artificial Intelligence (AI)
Cloud Computing
Mobile Technologies
","Protection of Internet-facing eServices against Distributed Denial of Service Attacks. Government departments will have more and more public facing websites / web applications for serving the public with some of them being critical services requiring high availability and would have great impact to the government and/or public should there be outage of their services.  Distributed Denial of Services (DDOS) is a category of attack which can bring down services by techniques as simple as bandwidth flooding to more sophisticated attack at the application layer level.  We want to source anti-DDOS solutions to protect government websites / web applications against various types of DDOS attack.   Since some web applications carry sensitive information, the anti-DDOS solutions required should not rely on transmission, processing or storage of any transaction data (unencrypted or encrypted) on public clouds.. We expect the solutions can protect public facing websites and web applications of government departments against DDOS attack in short response time to prevent interruption or outage of services.  Moreover, the proposed solution is expected to ensure protection of sensitive data and prevent data leakage to parties other than the senders and the application owners. "
N-0033,Real Time Analytics for Government Websites and e-Services,政府網站及電子服務的實時流量分析,"Provide real time and insightful web analytic metrics of websites and e-Services for the service owners to make data-driven, continuous improvements to their services, and to make timely responses to the public.

Websites and e-Services owners need metrics of their services to measure the performance, popularity and also insights for further service improvement.

Currently the web analytic metrics are aggregated and calculated from server side web access log. The lead time for web access log aggregation and calculation processes is typically 5-7 days as it takes time to collect all access log from Content Delivery Network (CDN) service providers around the globe and the on-premise facility to analyze the web access log to deliver the web analytic metrics.

Despite that the current web analytic calculation facility can provide basic metrics in dimensions (like time, content, demographic & user agent), it does not have the ability to correlate these dimensions and cannot depict typical user browsing behaviour and flow. Websites and e-Services owners need these metrics to tell a complete story so as to grasp the major pain points and prioritize the necessary improvements.","政府網站及電子服務所屬單位需要實時及多角度的流量分析，例如網站的受歡迎程度、效能等指標，用以持續提升服務水平及更快速地回應市民服務要求。

目前政府網站的流量數據來自服務器日誌。由於政府網站現在經由分布於全球的內容分發網絡(Content Delivery Network) 發布給公眾，我們一般需要五至七天時間以聚合及分析所有服務器日誌。

現時政府的流量分析工具只提供基本的分析，例如登入網站的時間分布、用戶使用的瀏覽器等，並未備有多角度分析流量的能力，如用戶登入網站後在各網頁的流向等。我們需要多角度分析的數據以找出用戶的主要痛點，繼而更針對性地改善該電子服務。","The new web analytic platform shall facilitate websites and e-Services owners to visualize the real time performance of their websites and e-Services, and also to identify the users' top tasks through insightful and fully correlated metrics in multiple dimensions.

This platform shall be scalable and be able to analyse 900+ websites and e-Services owned by the Government.","新流量分析系統須幫助政府網站及電子服務所屬單位視像化其實時效能及流量數據，以多角度分析並找出用戶在該網站或電子服務的主要需求。

此系統須分析900個以上的政府網站及電子服務，並可隨時擴展分析容量。","Broadcasting
Infrastructure
","Cloud Computing
Data Analytics
","Real Time Analytics for Government Websites and e-Services. Provide real time and insightful web analytic metrics of websites and e-Services for the service owners to make data-driven, continuous improvements to their services, and to make timely responses to the public.

Websites and e-Services owners need metrics of their services to measure the performance, popularity and also insights for further service improvement.

Currently the web analytic metrics are aggregated and calculated from server side web access log. The lead time for web access log aggregation and calculation processes is typically 5-7 days as it takes time to collect all access log from Content Delivery Network (CDN) service providers around the globe and the on-premise facility to analyze the web access log to deliver the web analytic metrics.

Despite that the current web analytic calculation facility can provide basic metrics in dimensions (like time, content, demographic & user agent), it does not have the ability to correlate these dimensions and cannot depict typical user browsing behaviour and flow. Websites and e-Services owners need these metrics to tell a complete story so as to grasp the major pain points and prioritize the necessary improvements.. The new web analytic platform shall facilitate websites and e-Services owners to visualize the real time performance of their websites and e-Services, and also to identify the users' top tasks through insightful and fully correlated metrics in multiple dimensions.

This platform shall be scalable and be able to analyse 900+ websites and e-Services owned by the Government."
N-0034,Enhancement of Security Management at the Data Centre,加強數據中心的保安管理,"To enhance the physical security management of a data centre (""DC"") with the aid of smart technology instead of totally relying on human escorting resource to prevent physical access control risk which may jeopardise information security, serviceability and reliability of the data centre and, with integration with the access control system and CCTV system of the DC, meet the following expected outcomes:",使用數碼科技以盡量減少人手需求，監察訪客未經授權而進入數據中心特定區域的事件，來加強數據中心的實體保安管理，以防止危及數據中心的安全性，可用性和可靠性，配合門禁和攝錄鏡頭系統的監控並達到以下預期成果。,"1.	To prevent plant room visitors from entering into unauthorised sub-areas. If attempt to enter an unauthorised sub-area is detected, an alert message will be sent to the monitoring system for triggering necessary alert/alarm to the operator and, by integration with other relevant systems, to assist the operator to take actions, such as bringing up the videos of the relevant surveillance cameras and the details of the visitors in the plant room. Tailgating should also be detected. 
(Note:	A plant room includes sub-areas A, B and C for different E&M facilities without physical separation.) 

2.	To prevent data hall visitors from entering into unauthorised cold/hot aisles. If attempt to enter an unauthorized cold/hot aisle is detected, an alert message will be sent to the monitoring system for triggering necessary alert/alarm to the operator and, by integration with other relevant systems, to assist the operator to take actions, such as bringing up the videos of the relevant surveillance cameras and the details of the visitors in the data hall.  Tailgating should also be detected.

3.	To have real time people counting solution for people working in the DC, down to aisle or room level of data halls, sub-areas or room level of plant rooms and specific rooms. It can also reconcile the people counting with the card reader access control system.","1.	防止和發現未經授權訪客而進入機電房分區設施，並置有反尾隨監察功能。當偵查到訪客嘗試進入和接觸未授權設施，監控系統會配合其他相關系統，如顯示相關的攝錄鏡頭和機電房訪客的登記資料，即時通知控制中心以助採取相應行動。
(備注 - 機電房分A區、B區、C區，裝置各種機電設施，而沒有實物分隔A/B/C 區)

2.	防止和發現未經授權訪客而進入數據中心區域冷/熱巷通道，並置有反尾隨監察功能。當偵查到訪客嘗試進入未經授權的冷/熱巷通道，監控系統會配合其他相關系統，如顯示相關的攝錄鏡頭和數據中心區域訪客的登記資料，即時通知控制中心以助採取相應行動。

3.	實時統計訪客進出數據中心區域或特定設施房間，對比門禁系統的實時讀數，從而分析在數據中心區域或特定設施房間的實時訪客人數。","Infrastructure
Law and Security
","Radio Frequency Identification (RFID)
Video Analytics
People counting technologies; Motion detection; Laser/Infrared/RF based Intrusion Detection; Virtual door
","Enhancement of Security Management at the Data Centre. To enhance the physical security management of a data centre (""DC"") with the aid of smart technology instead of totally relying on human escorting resource to prevent physical access control risk which may jeopardise information security, serviceability and reliability of the data centre and, with integration with the access control system and CCTV system of the DC, meet the following expected outcomes:. 1.	To prevent plant room visitors from entering into unauthorised sub-areas. If attempt to enter an unauthorised sub-area is detected, an alert message will be sent to the monitoring system for triggering necessary alert/alarm to the operator and, by integration with other relevant systems, to assist the operator to take actions, such as bringing up the videos of the relevant surveillance cameras and the details of the visitors in the plant room. Tailgating should also be detected. 
(Note:	A plant room includes sub-areas A, B and C for different E&M facilities without physical separation.) 

2.	To prevent data hall visitors from entering into unauthorised cold/hot aisles. If attempt to enter an unauthorized cold/hot aisle is detected, an alert message will be sent to the monitoring system for triggering necessary alert/alarm to the operator and, by integration with other relevant systems, to assist the operator to take actions, such as bringing up the videos of the relevant surveillance cameras and the details of the visitors in the data hall.  Tailgating should also be detected.

3.	To have real time people counting solution for people working in the DC, down to aisle or room level of data halls, sub-areas or room level of plant rooms and specific rooms. It can also reconcile the people counting with the card reader access control system."
N-0035,“Smart” Car Park Management System,"""智能""停車場管理系統","To promote the initiative “Smart Mobility” of the Smart City Blueprint announced in December 2017 and meet the increasing demand for the car parking spaces, the ""Smart"" Car Park Management System is required to be installed at the public car parks  to facilitate the public in finding/using car parking spaces efficiently and conveniently.  The system should also assist in identifying car parking service improvement opportunities in a cost-effective manner.",為配合2017年12月推出的智慧城市藍圖的「智能出行」計劃，以及滿足日益增加的停車位需求，以「智能」停車場管理系統管理公眾停車場，幫助公眾有效和方便地尋找/使用停車位，該系統還應以具經濟效益的方式改善停車場服務及運作。,"We expect the “Smart” Car Park Management System able to deliver the following functions:
- allow the drivers to make pre-booking through mobile APP/website
- check the real-time vacant parking spaces through mobile APP/website
- facilitate the public to find parking spaces
- navigate the driver to locate his/her own vehicle in the car park
- adopt new payment means such as QR code payment, NFC payment, etc.

Apart from the above advantages to the public, we would also like to use the data available for analysis to understand the public demand for and behavior in using car parking spaces in different districts so as to better plan and improve operations.","我們期望""智能""停車場管理系統能夠提供以下功能：
 - 通過流動應用程式/網站進行預訂
 - 通過流動應用程式/網站查看實時空置停車位
 - 幫助公眾尋找空置停車位
 - 為駕駛者領航以在停車場中找到他/她自己的車輛
 - 採用新的支付方式，如二維碼支付，NFC支付等。

除了上述優點外，我們亦希望利用可供分析的數據，以了解市民在不同地區使用停車位的需求和行為，以便更有效地規劃和改善運作。","City Management
Transport
","Data Analytics
Internet of Things (IoT)
Mobile Technologies
Predictive Analytics
","“Smart” Car Park Management System. To promote the initiative “Smart Mobility” of the Smart City Blueprint announced in December 2017 and meet the increasing demand for the car parking spaces, the ""Smart"" Car Park Management System is required to be installed at the public car parks  to facilitate the public in finding/using car parking spaces efficiently and conveniently.  The system should also assist in identifying car parking service improvement opportunities in a cost-effective manner.. We expect the “Smart” Car Park Management System able to deliver the following functions:
- allow the drivers to make pre-booking through mobile APP/website
- check the real-time vacant parking spaces through mobile APP/website
- facilitate the public to find parking spaces
- navigate the driver to locate his/her own vehicle in the car park
- adopt new payment means such as QR code payment, NFC payment, etc.

Apart from the above advantages to the public, we would also like to use the data available for analysis to understand the public demand for and behavior in using car parking spaces in different districts so as to better plan and improve operations."
