Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website
S-0011,Precise Outdoor Crowd Analysis,精準室外人流分析,Achiever Big Data Limited,融達數據有限公司,"Through wireless transceivers receiving Wi-Fi signals from smartphones (no apps or connection is needed), and processing the data on Clouds, we provide a detailed crowd analysis, like time series of crowd count and dwell time, and crowd flow statistics. Citizens and tourists can be clustered by their location-based behaviors. The analysis result can be used in crowd monitoring and future urban planning.","City Management
Development
Law and Security
Population
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
","By deploying the system to different districts, from the crowd distribution, their dwell time and movement, we can cluster and analyze the behavior of citizens and tourists in an anonymous way. The analysis result can be used in crowd monitoring, police force allocation, transport optimization, and future urban planning.",https://www.achieverbigdata.com
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",籌碼集中度、內幕交易、沽空和股價操縱監控預警系統,Bitex Limited,比特港有限公司,"Perform machine learning and intelligent analysis on the stock holding data of the brokerage firm, calculate the information entropy of the shareholding portfolio and its changes, locate and find out the suspicious brokerage seat purchases that have changed before the special company event, by checking the brokerage seat in the specified time windowEstimate the profit and loss and rate of return on a certain stock to find out abnormal transactions; evaluate the changes in the degree of chip concentration of the designated stock by changing the distribution of the designated stocks in different brokerage seats, and monitor abnormal short-selling transactions through pattern recognition of individual stocks, Automatically detect specific public opinions (short selling reports, manipulation accusations, etc...), and automatically locate high-risk public events and explosive news to the list of related listed companies.","Finance
監管機構
","Data Analytics
Machine Learning
","Bitport uses the exchange’s daily millions of securities firm’s shareholding data to conduct in-depth mining and tracking analysis. It detects abnormal signals on the eve of many major corporate events, with high accuracy and coverage.In the past several times of privatization, before the unprecedented, accurate data reports have been released.If it can be used for the regulation of exchanges and the China Securities Regulatory Commission, it is believed that it will be useful in regulating market order, locking in insider trading and market manipulation, combating illegal short selling and highly concentrated equity cases, and identifying high-risk related listed companies in response to specific public opinions and events.Can be helpful.",www.bithkex.com
S-0013,Public Event Tracking and Early Warning Analysis System,公共事件跟蹤預警分析系統,Bitex Limited,比特港有限公司,"Multilingual public opinion collection and analysis of public data such as local and overseas websites, social media, etc., sentiment analysis/trend analysis/geographic visualization analysis/relational analysis, etc. for the events/individuals/entities queried by users, providing a solution for decision makersExtremely simplified, low-cost, interactive analysis support, in a few minutes, the massive information is transformed into a real-time key knowledge graph that supports decision-making.","City Management
Development
監管機構
","Data Analytics
Machine Learning
Natural Language Processing
","The sky sees itself and the people see, and the sky listens to the people.In recent years, the Internet and social media have proven to be the best and largest platforms for effectively collecting public opinion and policy feedback, but noise, huge amounts of data, and natural language processing pose the biggest challenges.Bitport’s innovative multi-language query-based public opinion monitoring and early warning and analysis platform can achieve any query on any target and topic proposed by users in any language, achieving needle-in-the-haystack knowledge acquisition, and maximizing information gain in a short timeIn principle, it constitutes a one-stop public intelligence solution for decision makers from information collection, visualization to indicative analysis.",www.bithkex.com
S-0014,2D Face Re-identification,,Dayta AI Limited,,Apply Facial Recognition System for all ID Check to increase security level by reducing the possibility of human misjudgement in identification and might lead to security breach.,"City Management
Commerce and Industry
Development
Employment and Labour
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
","With our Facial Recognition System, it records and uses the biometrics of a user’s facial features for specific actions and permissions, in this case the ID check.  This system can greatly reduce the situations stolen identification cards and immediate identify during security breaches.",http://dayta.ai
S-0015,3D Face Re-identification,,Dayta AI Limited,,Apply Facial Recognition System for re-identifying suspects or person tracking through camera.,"City Management
Commerce and Industry
Development
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
Immigration
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
","With our Facial Recognition System, it records and uses the biometrics of a user’s facial features and then re-identifies it later on.  This system can be used to re-identify suspects that are captured from the cameras around the city.",http://dayta.ai
S-0016,Cyclops -- Smart City & unmanned store solution,,Dayta AI Limited,,"Cyclops can directly process camera footages (CCTV etc) to perform people count, human tracking, emotion recognition, demographics recognition and many more. The solution can be utilized in Smart City application and Unmanned store solution.","City Management
Development
Employment and Labour
Environment
Housing
Infrastructure
Population
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Predictive Analytics
","Cyclops can track, analyze and summarize customer paths into clear heatmaps for strategic management. It can also reveals customers' emotion which tells what they truly think about the products and services. Demographics such as age group and gender can be identified for marketing evaluation as well.",http://dayta.ai
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),,Dayta AI Limited,,"OMS proposes its camera solutions as a better alternative, which does not require elderlies using any wearable technologies, and could instantly detect a falling motion which alerts the person-in-charge. The AI solution components are facial recognition that differentiates the identity of all elderlies inside the center, 3D key-point recognition that detects the motion of falling, and object recognition that identifies objects that might cause the fall. The solution components are all under 1 system.","City Management
Development
Environment
Housing
Infrastructure
Population
Social Welfare
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
","Falling is considered the most common source of injury amongst the elderly population. Approximately 30%-50% of falls cause minor injuries such as bruises and abrasions, and around 10% result in major injuries, including fractures and brain injury-related deaths. Elderly centers have been actively trying to prevent the falls, but accidents do happen and an immediate response could avoid the situation to worsen. The existing solution to this problem is the ‘safety bell’ that requires elderlies to always wear it on their necks and push the button whenever there is an emergency- such as they have fallen. Although the device could instantly contact nearby hospitals and inform police stations, it is largely dependent on Elderlies pushing the button, hence when they are unconscious or thinking they could manage by themselves, will often delay the best time to receive medical treatments and worsening the situation. 

The falling alert aspect uses facial recognition that identifies the elderly, and key-point recognition that recognizes the body key-points such as joints, limbs etc hence knowing when there are irregular body movements causing a fall. When a fall is detected, an instant alert will be sent to the end-user through an online dashboard (APP/Web) allowing elderlies to receive immediate care preventing the situation to further worsen.",http://dayta.ai
S-0019,Personalized Education System,,Dayta AI Limited,,"Our solution utilizes data analytics, emotion recognition, eye-gaze tracking and NLP (Natural Language Processing) to provide personalized education system such as advising, talent scouting and many more.","Education
Social Welfare
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
","Using our NLP technology, we can instantly scan through the errors in individual homework/exams, and automatically pinpoints the specific studying topic a student should focus more on. 
Using our eye-gazing technology, when a student uses a tablet or laptop in answering questions, we can track the eye-movement to determine whether the student has read the question or are simply guessing. We can also calculate the downtime in reading and answering the question to analyze if the student has made careless mistakes such as not reading the question properly. Through this, we can benchmark ability on time spent in comparison to the accuracy.
With our data analytics technology, we are able to identify the strengths and weaknesses of a student, such as students that are gifted in mathematics or language, and provide specific training to develop on that disciplinary. For special educational needs students, using eye-gazing technology can help us discover their hidden interests and talents, hence focusing on that area in their academics for a better future.",http://dayta.ai
S-0020,Machines Predictive Maintenance,,Dayta AI Limited,,"Apply Artificial Intelligence to (i) forecast spare parts demand, (ii) summarize users’ unstructured remarks with NLP (Natural Language Processing) and to (iii) perform predictive maintenance on machines’ maintenance schedule.","City Management
Commerce and Industry
Development
Health
Infrastructure
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
Predictive Analytics
","In the current situation, Corrective Maintenances are conducted in a ad-hoc manner, thus increasing unplanned costs. Apply Predictive Maintenance will reduce cost, increase efficiency and decrease Corrective Maintenance frequency.",http://dayta.ai
S-0021,ReportNOW,,Integrated Solutions Limited ,集信軟件科技有限公司,"ReportNOW is a mobile data interchange platform for all organization. As long as you have a mobile device on hand, you can stay connected with your business anytime anywhere. In addition, users can easily upload instant data unlimitedly to the ReportNOW server over the Internet. Through ReportNOW, either smart phones or tablets can easily link up with the company's existing database system and generate reports with real-time information or capture immediate data from the mobile devices. ReportNOW, in fact is designed for an easy to use with simple installation. It is the only interactive mobile solution in the market that is compatible with different database systems and provides variance formats for real-time reporting on multiple platforms (Android, iOS and Windows). Most importantly, there is no additional investment to acquire new hardware while enjoying these benefits.","City Management
Commerce and Industry
Development
Education
Employment and Labour
Environment
Food
Health
Housing
Infrastructure
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
","Benefits of ReportNOW 

(a) Getting close to your company information at all times
No matter where you are, whether you are in meetings, coffee shop, golf course, during commute or at any other occasions, the management can use their mobile devices to read the company’s real-time generated business reports. Therefore, they can always gain in-depth insights and up-to-date information to support every decision they make.

(b) Creating the reports in short period of time
Without the need of special training, you can create new report in just a few minutes. ReportNOW is very simple and straightforward to use. Our r-Designer will guide you through step-by-step to customize all kinds of reports for your mobile devices.

(c)  Meeting various needs with great flexibility
ReportNOW can generate reports in PDF, Excel or other formats for the users to further utilise the content in order to meet various needs in any given situations. ReportNOW also comes with comprehensive management tools as well as development platform for advanced users to create richer and more informative reports on their mobiles.
 
(d) Uploading instant information anytime anywhere
r-Form comes along with ReportNOW for transforming your smart phone or tablet into a data-collecting device for the field service team to upload the up-to-date information to the company database anywhere. By eliminating the redundancy of data entry, it helps to improve efficiency and effectiveness in your daily operation.

(e) Building your form to catch up with new business
The data entry form needs to be updated from time to time in order to catch up with the business development. However, it is very costly to appoint a software engineer to modify the entry form when necessary. Now, r-FORM is your new option with excellent convenience and extremely low cost. r-FORM can link up with any database system and provides flexible solutions for users to quickly build forms and deploy to the mobile devices without any extra cost.

(f) Reporting your works with multi-media
If the field service team only uses text-based information to report their works, it usually causes lots of confusion and misinterpretation as the information is likely to be incomplete. r-FORM empowers the field service crew to leverage the multi-media facilities from the mobile device to capture photos, sound and location as well as to instantly upload the information to the business database. As a result, the management can perceive the full picture of all instances by analyzing the fruitful information.

(g) Reduce paper usage
ReportNOW is a Green ICT solution with the technology that can help you to create mobile business processes and a paperless office. All information is in electronic form where data can be easily captured, saved, reviewed, analysed, updated and shared. Enterprises can achieve a ""less-paper"" business process, or even go “paperless”.",http://www.isl.com.hk/
S-0022,A smart lamp pole system with AI-enabled security system,,Chinotech (HK) Limited,,"This is a road lamp system that has a number of components on it: weather station, WIFI / 5G station, public announcement system, digital signage, EV are charging station, radar speed (for vehicle speed checking), a call point, and CCTV. Some of the components are self explanatory. It enhances public security by 24/7 monitoring the surroundings events, people behavior.","City Management
Law and Security
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
Machine Learning
","This is a road lamp system that has a number of components on it: weather station, WIFI / 5G station, public announcement system, digital signage, EV are charging station, radar speed (for vehicle speed checking), a call point, and CCTV. Some of the components are self explanatory. For radar, this helps to enforce road safety by doing speed check and CCTV can take photos for speeding tickets. CCTV stream are routed to the backend server, where the AI-enabled object recognition algorithm is running. The application could include: traffic light scheduling for counting cars (and taking speed) and pedestrians on the road, in order to assign traffic light signal in real time; the AI-enabled CCTV stream is able to monitor the surrondings to spot dangerous activities, such as people holding a gun / knief / weapons / etc; the microphone on the CCTV is able to monitor gun shot, breaking glass, crowd gathering, etc. These monitoring will not spot a specific person,so that the data privacy is preserved.

To summarize:
1. public safety monitoring by AI-enabled CCTV and algorithms
2. number of pedestrian counting (waiting for traffic light)
3. approaching vehicle counting and speed checking
4. combining 2 and 3 will be able to control traffic light priority to those in need, and having warning on fast approaching vehicles",www.chinotech.hk
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,,The Payment Cards Group Limited,交易寶有限公司,We want to implement Yedpay's mobile payment solution for the Housing Authority and Leisure and Cultural Department.  Our payment solution would allow the general public to pay their monthly rental or fees through other more convenient means such as their credit cards or their mobile devices.,"City Management
Education
Finance
Housing
Recreation and Culture
","Data Analytics
Mobile Technologies
",Public Services like Housing Authority or the Leisure and Cultural Department can streamline its services if these departments can take payments through other cashless channels.  The general public would also benefit from the more convenient way to make such payments.,www.yedpay.com
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,自动垃圾收集系统-1槽多收,Envac Far East Ltd.,,"The design encourages and facilitates users to dump multi-recyclables at one time. The rate of return of recyclables can be encouraged. Use of automated refuse collection system can also reduce manpower and labor costs, reduce noise and smell problems, improve hygienic and environment, raise the efficiency of refuse collection at the same time. The system can be further upgraded to weigh and record refuse dumping by users in order to support municipal refuse charging system in the future.","Development
Education
Environment
Food
Health
Housing
Infrastructure
","Data Analytics
Radio Frequency Identification (RFID)
","The system can help people to collect refuse with substantial reduction of manpower and labor costs, improve hygienic condition and living environment, reduce noise & smell nuisance and carbon dioxide discharge, raise the efficiency of refuse collection and improve the industry image of refuse collection.

The system can be adjusted easily to adapt to the forthcoming municipal waste charging system no matter by bags and weight.

With the system, the traditional 3 colour recyclable bins on each floor can be completely replaced. Manual emptying is not required at each bin. Therefore, the original space for storing recyclables can be saved for other purposes.",www.envacgroup.com
S-0026,Knowledge Management Solution (KM Power),,Lively Impact Technology Limited,,"Enhance training efficiency and progress, to achieve expected results:-

- Get the right information to the right people at the right time
- Use shared knowledge to inspire brainstorming, collaboration and big ideas
- Enable teams to set targets and actually hit them","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Data Analytics
","One of customers is Hospital Authority.
There are nearly 50,000 staffs using that solution to learn latest and required knowledge.
It helps to improve overall working efficiency.
At the costs HK$60-100/ per head/ per year platform subscription",www.livelyimpact.com
S-0027,Big Data Enabler Service (project based),,Lively Impact Technology Limited,,"One of cases- 

OGCIO Pilot Big Data Analytics Portal (BDAP)
Big data analytics is indispensable to the success of Hong Kong’s Smart City initiative, OGCIO rolls out an internal Big Data Analytic Platform (“BDAP”) for Proof of Concept in year 2017.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
","Implement a pilot BDAP with the adoption of big data analytics technology that could support data analysis with data collected from Government bureaux and departments (“B/Ds”) and external parties.
OGCIO would collaborate with different B/Ds to carry out several pilot use cases on the platform to strengthen the capability of adopting big data technology in the Government.
Enable collaboration between parties including Data Owner, Data Scientist, Application Developer and Executive User to work on big data use cases.
Facilitate development of analytical algorithm, model and technique, including but not limited to data mining, machine learning and text analytics.",www.livelyimpact.com
