Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website,Model Input
S-0040,RVM One Stop Recycling Solution,智能回收一站式解決方案,Carbon World Limited,碳世界有限公司,"Provide recycling and processing service , from source classification to collection and transportation to recycling.The smart recycle machine can be operate 24/7 to facilitate recycling , provide instant points/discounts , increase recycle incentive , increase recycle awareness , and improve garbage disposal problems.The intelligent recycle machine automatically report that the recycling be full , save transportation carbon emissions.Monitor downstream processing to ensure that recycle plastic bottles/aluminum can and other waste be send to recyclers for recycle . The back office can provide statistic on carbon reduction certificate .","City Management
Education
Environment
Social Welfare
環境保護
","Data Analytics
Internet of Things (IoT)
","Putting them in housing estate , shop mall or other convenient location can help people get use to correct recycling , reduce pressure on landfill , and ensure real recycling .",www.co2coins.com,"RVM One Stop Recycling Solution. Provide recycling and processing service , from source classification to collection and transportation to recycling.The smart recycle machine can be operate 24/7 to facilitate recycling , provide instant points/discounts , increase recycle incentive , increase recycle awareness , and improve garbage disposal problems.The intelligent recycle machine automatically report that the recycling be full , save transportation carbon emissions.Monitor downstream processing to ensure that recycle plastic bottles/aluminum can and other waste be send to recyclers for recycle . The back office can provide statistic on carbon reduction certificate .. Putting them in housing estate , shop mall or other convenient location can help people get use to correct recycling , reduce pressure on landfill , and ensure real recycling ."
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,,Nexify Limited + IFLYTEK Co. LTD,,"To provide on-premises Cantonese Speech Recognition Services and transcribe voice speech into text . To facilitate the possible analytics and further processing on speech content by its recognize text . To ensure government content remain in government network and server , in order to comply with government 's security guideline .","Broadcasting
City Management
Commerce and Industry
Development
Education
Finance
Health
Housing
Law and Security
Population
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
","To reduce manual effort to convert speech content into text for possible analytics and processing . To enhance the accuracy and performance of convert speech content into text for possible analytics , data mining and find correlation from large amount of unstructured data .",www.nexify.com.hk,"A.I. and speech solutions by Nexify and iFLYTEK. To provide on-premises Cantonese Speech Recognition Services and transcribe voice speech into text . To facilitate the possible analytics and further processing on speech content by its recognize text . To ensure government content remain in government network and server , in order to comply with government 's security guideline .. To reduce manual effort to convert speech content into text for possible analytics and processing . To enhance the accuracy and performance of convert speech content into text for possible analytics , data mining and find correlation from large amount of unstructured data ."
S-0042,Smart Water Duct Valve for shared Housing,共享房屋的智能水閘,SmartObject Network Limited,物聯網科技有限公司,"Public bathroom and share house that be popular recently . Because there be no independent water meter , user may not necessarily pay attention to water conservation.In some case , user intentionally or unintentionally do not turn off the water pipe , waste a lot of fresh water , cause expensive water bill and flood risk . Smart sluice can avoid this crisis .","City Management
Housing
Recreation and Culture
Social Welfare
","Internet of Things (IoT)
","The traditional swimming pool bath spring device be not suitable for living place , only suitable for short-term bathing , and the cost be not cheap.With the advancement of sensor and mechanical device , a normally closed sluice device can be instal . With a motion sensor , the lock will be unlocked and release when someone be next to the shower.If you forget to turn off the shower or the kitchen faucet for wash vegetable and leave , the water source will be automatically lock to prevent water wastage and flooding crisis . It be well than a flooding alarm , so the device have prevent flooding .",www.smartobject.net,"Smart Water Duct Valve for shared Housing. Public bathroom and share house that be popular recently . Because there be no independent water meter , user may not necessarily pay attention to water conservation.In some case , user intentionally or unintentionally do not turn off the water pipe , waste a lot of fresh water , cause expensive water bill and flood risk . Smart sluice can avoid this crisis .. The traditional swimming pool bath spring device be not suitable for living place , only suitable for short-term bathing , and the cost be not cheap.With the advancement of sensor and mechanical device , a normally closed sluice device can be instal . With a motion sensor , the lock will be unlocked and release when someone be next to the shower.If you forget to turn off the shower or the kitchen faucet for wash vegetable and leave , the water source will be automatically lock to prevent water wastage and flooding crisis . It be well than a flooding alarm , so the device have prevent flooding ."
S-0043,fieldConnect,外勤妥,Letsapp Limited,智叻科技有限公司,"fieldConnect ( 外勤妥 ) be an agile and flexible workflow system to manage the complex field services/works for construction industry . It orchestrate approval process , job dispatch/monitoring and proof of work for both internal staff and vendor . The simple yet sophisticated mobile phone UI could record photo , GPS and time log within a minute . There be no more excuse not do the proper work record for field service any more .","City Management
Development
Housing
Infrastructure
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Mobile Technologies
Building Information Modelling (BIM)
","fieldConnect ( 外勤妥 ) have be in use in manage all road maintenance services/works in Hong Kong island for Highway Department since 2017 . It allow online photo upload/download with GPS information as realtime proof of work . fieldConnect streamline the road service work in a control manner , it ’ s Geo-data business intelligence provide unprecedented information of road services/work in geo-cluster level in answer high level management question , like which location will be badly hit in next typhoon .",http://www.letsapp.com.hk/,"fieldConnect. fieldConnect ( 外勤妥 ) be an agile and flexible workflow system to manage the complex field services/works for construction industry . It orchestrate approval process , job dispatch/monitoring and proof of work for both internal staff and vendor . The simple yet sophisticated mobile phone UI could record photo , GPS and time log within a minute . There be no more excuse not do the proper work record for field service any more .. fieldConnect ( 外勤妥 ) have be in use in manage all road maintenance services/works in Hong Kong island for Highway Department since 2017 . It allow online photo upload/download with GPS information as realtime proof of work . fieldConnect streamline the road service work in a control manner , it ’ s Geo-data business intelligence provide unprecedented information of road services/work in geo-cluster level in answer high level management question , like which location will be badly hit in next typhoon ."
S-0044,AI Escalator Safety Monitoring System,人工智能電梯安全監察系統 ,SEBit Company Limited,世閣有限公司,"With the advancement of AI and high definition video surveillance system , a powerful video analytic system will be employ to monitor the operation and safety of escalator . The system be design to provide high definition image quality and high storage capacity . AI video analytics will be employ to capture , analysis and summarize the maintenance and operation time , human activity and accident occur on the escalator . The summary of the analytic result be accessible via a user interface locally or on the cloud . The deliverable of this project be escalator safety enhancement , operation monitoring , statistic collection . With the development of artificial intelligence and high-definition video surveillance system , the system will use a powerful video analysis system to monitor the operation and safety of the handrail . The system design provide high-definition image quality and high storage capacity . Artificial intelligence video analysis will be use to record , analyze and summarize citizen behavior on handrail , and record daily operation and accident . The summary of the analysis result can be read through the local machine or the cloud network . The result of this project be safety enhancement and operation monitoring of escalator .","City Management
Commerce and Industry
Environment
Housing
Infrastructure
Recreation and Culture
Transport
","Artificial Intelligence (AI)
Deep Learning
Machine Learning
Predictive Analytics
","The solution be tailor-made for escalator safety and can be apply on various scenario such as : market , shop mall , public escalator , transportation system , etc . By use AI video analytic , the solution detects and capture the important incident , such as bulkyobjects approach the escalator , human activity and accident occur on the escalator . The solution improve the escalator safety , automate the monitoring of escalator operation and collect useful statistic for the management . This solution be specifically tailor for escalator safety and can be apply to various scenario , such as market , shop mall , public escalator , transportation system , etc.By use AI video analysis , the solution can detect and capture important event , such as a large number of object approach the escalator , the behavior of citizen on the escalator , and accident that occur.The solution can improve the safety of the escalator , automatically monitor the operation of the escalator and collect useful management statistic .",www.sebit.world,"AI Escalator Safety Monitoring System. With the advancement of AI and high definition video surveillance system , a powerful video analytic system will be employ to monitor the operation and safety of escalator . The system be design to provide high definition image quality and high storage capacity . AI video analytics will be employ to capture , analysis and summarize the maintenance and operation time , human activity and accident occur on the escalator . The summary of the analytic result be accessible via a user interface locally or on the cloud . The deliverable of this project be escalator safety enhancement , operation monitoring , statistic collection . With the development of artificial intelligence and high-definition video surveillance system , the system will use a powerful video analysis system to monitor the operation and safety of the handrail . The system design provide high-definition image quality and high storage capacity . Artificial intelligence video analysis will be use to record , analyze and summarize citizen behavior on handrail , and record daily operation and accident . The summary of the analysis result can be read through the local machine or the cloud network . The result of this project be safety enhancement and operation monitoring of escalator .. The solution be tailor-made for escalator safety and can be apply on various scenario such as : market , shop mall , public escalator , transportation system , etc . By use AI video analytic , the solution detects and capture the important incident , such as bulkyobjects approach the escalator , human activity and accident occur on the escalator . The solution improve the escalator safety , automate the monitoring of escalator operation and collect useful statistic for the management . This solution be specifically tailor for escalator safety and can be apply to various scenario , such as market , shop mall , public escalator , transportation system , etc.By use AI video analysis , the solution can detect and capture important event , such as a large number of object approach the escalator , the behavior of citizen on the escalator , and accident that occur.The solution can improve the safety of the escalator , automatically monitor the operation of the escalator and collect useful management statistic ."
S-0045,SAP Big Data Solution,SAP大數據平台,SAP Hong Kong Co. Limited,,"SAP HANA be an in-memory data and application platform . It include native engine for text mining , predictive analytics , graph and spatial engine to accelerate spatial processing and analytics for real-time location insight . With HANA Platform , business data be not just link to an external spatial data source , but unify in-memory for instance access and accelerate spatial processing . Therefore , no more broken link to fix , no more wait for hour for analysis to run . Benefit : i . Accelerate Business Processes ii . Tames Big Data analysis iii . Keeps pace with stream data from IoT iv . Foundation for deploy accelerated application from SAP , ESRI , Internal or External Developers . SAP Data Hub be a multifaceted solution that be design to solve the challenge post in the ever-increasing distributed data landscape . Benefit : Include data pipeline , governance , and landscape management that scale elastically to orchestrate and automate the flow and refinement of disparate data ( structure and unstructured , stream and bulk transfer , in motion or at rest ) all in one environment . Hundreds of pre-built operator ( e.g . : Machine Learning , complex data processing , etc ) be available out of the box for you to build your big data scenario effortlessly .","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Health
Housing
Infrastructure
Population
Recreation and Culture
Transport
","Artificial Intelligence (AI)
Blockchain
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Predictive Analytics
","Identify traffic hazard across the city in realtime and plan road repair Successful case : City of Boston use a mobile app and HANA platform to crowd source road information and identify pothole and road hazard in the city streets SOLUTION ▪ SAP HANA platform with geospatial storage and processing ▪ SAP HANA WebIDE or Business Objects Dashboard for analysis BENEFITS ▪ Overhead “ eye ” for crime , weather , traffic , event management ▪ More justification for capital project fund ▪ Critical citizen transparency ▪ Response/recovery planning/execution ▪ Better traffic and crime management",www.sap.com,"SAP Big Data Solution. SAP HANA be an in-memory data and application platform . It include native engine for text mining , predictive analytics , graph and spatial engine to accelerate spatial processing and analytics for real-time location insight . With HANA Platform , business data be not just link to an external spatial data source , but unify in-memory for instance access and accelerate spatial processing . Therefore , no more broken link to fix , no more wait for hour for analysis to run . Benefit : i . Accelerate Business Processes ii . Tames Big Data analysis iii . Keeps pace with stream data from IoT iv . Foundation for deploy accelerated application from SAP , ESRI , Internal or External Developers . SAP Data Hub be a multifaceted solution that be design to solve the challenge post in the ever-increasing distributed data landscape . Benefit : Include data pipeline , governance , and landscape management that scale elastically to orchestrate and automate the flow and refinement of disparate data ( structure and unstructured , stream and bulk transfer , in motion or at rest ) all in one environment . Hundreds of pre-built operator ( e.g . : Machine Learning , complex data processing , etc ) be available out of the box for you to build your big data scenario effortlessly .. Identify traffic hazard across the city in realtime and plan road repair Successful case : City of Boston use a mobile app and HANA platform to crowd source road information and identify pothole and road hazard in the city streets SOLUTION ▪ SAP HANA platform with geospatial storage and processing ▪ SAP HANA WebIDE or Business Objects Dashboard for analysis BENEFITS ▪ Overhead “ eye ” for crime , weather , traffic , event management ▪ More justification for capital project fund ▪ Critical citizen transparency ▪ Response/recovery planning/execution ▪ Better traffic and crime management"
S-0046,SAP Digital Boardroom,數字化董事會會議,SAP Hong Kong Co. Limited,,"Give top decision maker real-time , digital-enterprise insight into integrated line-of-business data from SAP and third-party application . With SAP Digital Boardroom , user can more readily monitor , simulate , and support business change to meet the expectation of your customer , business partner , and employee . • Cloud deployment • One source of truth across all business area • Fast response to business and customer demand • Touchscreen access to in-context visualization Benefits : 1 . Total Transparency 2 . Instant Data-Driven Insights 3 . Simplified Steering Meetings","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Cloud Computing
Data Analytics
Machine Learning
Mobile Technologies
Natural Language Processing
Predictive Analytics
","# 1 Identify what be the correlation between good performance school compare with other factor e.g . no of student , student gender , student location , extra circular activity , teacher student ratio , teacher academic level , etc . SOLUTION ▪ SAP Analytics Cloud - for data analysis and leverage machine learn to identify the correlation ▪ SAP Digital Boardroom for top management presentation about the finding BENEFITS ▪ user can rely on factual data for decision making without subjective presonal bias ▪ help organization move toward data driven ▪ assist company to adopt advance predictive capability without the need of have a dedicate data scientist # 2 Identify the impact of age population impact on housing , public health by combine all the data across department for senior executive to have a full picture on their correlation SOLUTION ▪ SAP Analytics Cloud - for data analysis and leverage machine learn to identify the correlation ▪ SAP Digital Boardroom for top management presentation about the finding BENEFITS ▪ Management can have a complete view on all the correlation regard citizen which help management to well rethink how government policy need to adjust in order to fit the actual need ▪ Management will have a boarder view on their policy impact and together with external data such as CPI , Energy Consumption , Traffic , Temperate change , etc .",www.sap.com,"SAP Digital Boardroom. Give top decision maker real-time , digital-enterprise insight into integrated line-of-business data from SAP and third-party application . With SAP Digital Boardroom , user can more readily monitor , simulate , and support business change to meet the expectation of your customer , business partner , and employee . • Cloud deployment • One source of truth across all business area • Fast response to business and customer demand • Touchscreen access to in-context visualization Benefits : 1 . Total Transparency 2 . Instant Data-Driven Insights 3 . Simplified Steering Meetings. # 1 Identify what be the correlation between good performance school compare with other factor e.g . no of student , student gender , student location , extra circular activity , teacher student ratio , teacher academic level , etc . SOLUTION ▪ SAP Analytics Cloud - for data analysis and leverage machine learn to identify the correlation ▪ SAP Digital Boardroom for top management presentation about the finding BENEFITS ▪ user can rely on factual data for decision making without subjective presonal bias ▪ help organization move toward data driven ▪ assist company to adopt advance predictive capability without the need of have a dedicate data scientist # 2 Identify the impact of age population impact on housing , public health by combine all the data across department for senior executive to have a full picture on their correlation SOLUTION ▪ SAP Analytics Cloud - for data analysis and leverage machine learn to identify the correlation ▪ SAP Digital Boardroom for top management presentation about the finding BENEFITS ▪ Management can have a complete view on all the correlation regard citizen which help management to well rethink how government policy need to adjust in order to fit the actual need ▪ Management will have a boarder view on their policy impact and together with external data such as CPI , Energy Consumption , Traffic , Temperate change , etc ."
S-0047,Smart Taxpayer Services with Machine Learning,機器學習驅動的智能稅務服務,SAP Hong Kong Co. Limited,,"In the digital age , traditional way of provide revenue service be no longer acceptable . Taxpayer now demand service that be personalize , transparent , seamless and timely . Staff be demand improved process that will drive great efficiency . In Parallel , authority still need to deliver on the revenue commitment that be require by the government and the community . SAP Customer Retention solution power by Leonardo Machine Learning and HANA Prediction Analytics provide the deep insight into taxpayer 's journey of become debtor . The solution be able to identify the high-risk event or influence that lead to payment default . And the solution be able to distinguish between taxpayer who have the capacity to pay but choose not to and those who be in genuine financial hardship and require additional support . Both type of taxpayer require different approach and response and be able to know when to apply one response over the other be critical to a client centric approach .","City Management
Commerce and Industry
Finance
Social Welfare
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
Natural Language Processing
Predictive Analytics
","The solution could be use by on-the-ground tax management staff to provide taxpayer profiling , segmentation and early intervention into a taxpayer 's payment journey . The Business Value : -Estimated a certain improvement of debt/revenue collection -Estimated a certain reduction in the number of debtor -Improvement in the debt finalisation rate and -More timely revenue collection The Social Value : -Allow tax management authority to distinguish between taxpayer who have the capacity to pay but choose not to and those who be in genuine finaical hardship and require additional support . Both type of taxpayer require different approach and response and be able to know when to apply one response over the other be critical to a client centric approach . -A more responsive and tailored approach to individual taxpayer will lead to more timely collection of revenue and reduction in debt across all tax line , and additional revenue to fund essential service for HK citizen . The Human Empowerment : -Provide insight to ensure our staff to good understand individual taxpayer 's circumstance and need . -Allow staff to be engage in more interesting and value-adding activity , which will make a real difference to both taxpayer and revenue outcome .",www.sap.com,"Smart Taxpayer Services with Machine Learning. In the digital age , traditional way of provide revenue service be no longer acceptable . Taxpayer now demand service that be personalize , transparent , seamless and timely . Staff be demand improved process that will drive great efficiency . In Parallel , authority still need to deliver on the revenue commitment that be require by the government and the community . SAP Customer Retention solution power by Leonardo Machine Learning and HANA Prediction Analytics provide the deep insight into taxpayer 's journey of become debtor . The solution be able to identify the high-risk event or influence that lead to payment default . And the solution be able to distinguish between taxpayer who have the capacity to pay but choose not to and those who be in genuine financial hardship and require additional support . Both type of taxpayer require different approach and response and be able to know when to apply one response over the other be critical to a client centric approach .. The solution could be use by on-the-ground tax management staff to provide taxpayer profiling , segmentation and early intervention into a taxpayer 's payment journey . The Business Value : -Estimated a certain improvement of debt/revenue collection -Estimated a certain reduction in the number of debtor -Improvement in the debt finalisation rate and -More timely revenue collection The Social Value : -Allow tax management authority to distinguish between taxpayer who have the capacity to pay but choose not to and those who be in genuine finaical hardship and require additional support . Both type of taxpayer require different approach and response and be able to know when to apply one response over the other be critical to a client centric approach . -A more responsive and tailored approach to individual taxpayer will lead to more timely collection of revenue and reduction in debt across all tax line , and additional revenue to fund essential service for HK citizen . The Human Empowerment : -Provide insight to ensure our staff to good understand individual taxpayer 's circumstance and need . -Allow staff to be engage in more interesting and value-adding activity , which will make a real difference to both taxpayer and revenue outcome ."
S-0048,AI-based Application,,Deloitte China,德勤中國,"ARTIFICIAL intelligence already help run government , with cognitive application do everything from reduce backlog and cut cost to handle task we can ’ t easily do on our own , such as predict fraudulent transaction and identify criminal suspect via facial recognition . Indeed , while we expect AI-based technology in the year ahead to fundamentally transform how public-sector employee get work done—eliminating some job , redesign countless others , and even create entirely new professions—it ’ s already change the nature of many job and revolutionize facet of government operation . It ’ s highly unusual for a business improvement to increase speed , enhance quality and reduce cost at the same time , but cognitive technology offer that tantalise possibility .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Augmented Reality
Blockchain
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mixed Reality
Mobile Technologies
Natural Language Processing
Predictive Analytics
Radio Frequency Identification (RFID)
Robotic Process Automation
Video Analytics
Virtual Reality
","AI-based application can reduce backlog , cut cost , overcome resource constraint , free worker from mundane task , improve the accuracy of projection , inject intelligence into score of process and system , and handle many other task human can ’ t easily do on our own , such as sift through million of document in real time for the most relevant content .",www.deloitte.com.cn,"AI-based Application. ARTIFICIAL intelligence already help run government , with cognitive application do everything from reduce backlog and cut cost to handle task we can ’ t easily do on our own , such as predict fraudulent transaction and identify criminal suspect via facial recognition . Indeed , while we expect AI-based technology in the year ahead to fundamentally transform how public-sector employee get work done—eliminating some job , redesign countless others , and even create entirely new professions—it ’ s already change the nature of many job and revolutionize facet of government operation . It ’ s highly unusual for a business improvement to increase speed , enhance quality and reduce cost at the same time , but cognitive technology offer that tantalise possibility .. AI-based application can reduce backlog , cut cost , overcome resource constraint , free worker from mundane task , improve the accuracy of projection , inject intelligence into score of process and system , and handle many other task human can ’ t easily do on our own , such as sift through million of document in real time for the most relevant content ."
S-0049,Blockchain Solution, 區塊鏈解決方案,Deloitte China,德勤中國,"Blockchain technology be not only a platform on which the mass of new data derive from smart city can be safely store and access by those who should have access to it . The chain also may serve as the interoperable platform that give resident of smart city great say in the decision affect their hyper-local community , from budget to election , etc . It may also serve as a reputation management tool , as these city tend to be chock-full of citizen who demand a certain standard from individual and business when it come to communal and environmental care .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Blockchain
","Land & Housing management/company registry management : blockchain-based system could speed up the land registry process , as it would serve as an authoritative record to be refer to when grant or deny permission . Departmental transparency : Information from different department could be log on the blockchain and make accessible through widely accessible apps . A single source of secure , verify information would eliminate much of the confusion and misinformation that arise from the current system of information disseminate via the internet .",www.deloitte.com.cn,"Blockchain Solution. Blockchain technology be not only a platform on which the mass of new data derive from smart city can be safely store and access by those who should have access to it . The chain also may serve as the interoperable platform that give resident of smart city great say in the decision affect their hyper-local community , from budget to election , etc . It may also serve as a reputation management tool , as these city tend to be chock-full of citizen who demand a certain standard from individual and business when it come to communal and environmental care .. Land & Housing management/company registry management : blockchain-based system could speed up the land registry process , as it would serve as an authoritative record to be refer to when grant or deny permission . Departmental transparency : Information from different department could be log on the blockchain and make accessible through widely accessible apps . A single source of secure , verify information would eliminate much of the confusion and misinformation that arise from the current system of information disseminate via the internet ."
S-0050,Deloitte ASSIST,,Deloitte China,德勤中國,"Using the late advancement in AI and natural language processing , DeloitteASSIST enable patient to make a verbal request that generate a prioritized task to get help where it be need . DeloitteASSIST be transform the nurse-patient conversation from one weigh down by ‘ job ’ to one that support improved patient outcome and enable cultural change in ward operation .","Health
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Natural Language Processing
Predictive Analytics
","Through DeloitteASSIST , the patient can make a bedside verbal request , which can be understand by voice capture device and processed via machine learning . Then request appear as a notification on mobile app and a care team member respond to the patient ’ s request efficiently . DeloitteASSIST can help to release nurse time to care and improve care team management . On the other hand , it also help nurse to prioritize patient 's request and respond to important request faster , which will enhance patient response time and good experience .",www.deloitte.com.cn,"Deloitte ASSIST. Using the late advancement in AI and natural language processing , DeloitteASSIST enable patient to make a verbal request that generate a prioritized task to get help where it be need . DeloitteASSIST be transform the nurse-patient conversation from one weigh down by ‘ job ’ to one that support improved patient outcome and enable cultural change in ward operation .. Through DeloitteASSIST , the patient can make a bedside verbal request , which can be understand by voice capture device and processed via machine learning . Then request appear as a notification on mobile app and a care team member respond to the patient ’ s request efficiently . DeloitteASSIST can help to release nurse time to care and improve care team management . On the other hand , it also help nurse to prioritize patient 's request and respond to important request faster , which will enhance patient response time and good experience ."
S-0051,Insight Driven Organization (IDO),,Deloitte China,德勤中國,"A new way to do analytics . An end-to-end solution instead of just building dashboard . Insight Driven Organization rely on the fundamental building block of People , Process , Data and Technology be in place and inform by an Analytics Strategy . We help define strategy to embed data analysis and data reasoning into the decision making process , use analytics , machine learning , mobile and cloud technology to tackle the most complex business challenge .","City Management
Development
Housing
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
Predictive Analytics
","Tracking the movement of population and their distribution help understand and predict the usage of public resource , pattern and behavior of the public . It help develop comprehensive strategy and execution plan . A perfect example will be the usage of tunnel , highway , and facility around them .",www.deloitte.com.cn,"Insight Driven Organization (IDO). A new way to do analytics . An end-to-end solution instead of just building dashboard . Insight Driven Organization rely on the fundamental building block of People , Process , Data and Technology be in place and inform by an Analytics Strategy . We help define strategy to embed data analysis and data reasoning into the decision making process , use analytics , machine learning , mobile and cloud technology to tackle the most complex business challenge .. Tracking the movement of population and their distribution help understand and predict the usage of public resource , pattern and behavior of the public . It help develop comprehensive strategy and execution plan . A perfect example will be the usage of tunnel , highway , and facility around them ."
S-0052,OpenCloud CMP,OpenCloud 雲管理平台,Deloitte China,德勤中國,"OpenCloud digitize the best practice and instantiate them in tool configuration to manage , operate , and secure Cloud solution . These digital manifestation improve security posture , while accelerate Cloud adoption and maturity . Improve the quality of public service by improve infrastructure .","Commerce and Industry
Infrastructure
","Cloud Computing
","Make the cloud infrastructure more flexible and efficient . Improve the high availability , cost effectiveness and high performance of public service . The cost be base on the cluster license fee .",www.deloitte.com.cn,"OpenCloud CMP. OpenCloud digitize the best practice and instantiate them in tool configuration to manage , operate , and secure Cloud solution . These digital manifestation improve security posture , while accelerate Cloud adoption and maturity . Improve the quality of public service by improve infrastructure .. Make the cloud infrastructure more flexible and efficient . Improve the high availability , cost effectiveness and high performance of public service . The cost be base on the cluster license fee ."
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,實時交通起止點分析工具,Deloitte China,德勤中國,"RODAT be an innovative solution use sensor and big-data analytics to bring real-time information to life through visualization . It boost capability of city manager to monitor situation and to make timely intervention , improve the public 's transport experience .","Transport
","Data Analytics
Internet of Things (IoT)
Predictive Analytics
","RODAT have capture 8 million vehicle road movement per day since it go live in London . Transport of London now be able to understand and benchmark journey time , make appropriate intervention to regulate traffic flow and mitigate the impact of road project . Through RODAT the demand for London 's road can be effectively manage .",www.deloitte.com.cn,"Real-Time Origin-Destination Analysis Tool (RODAT）. RODAT be an innovative solution use sensor and big-data analytics to bring real-time information to life through visualization . It boost capability of city manager to monitor situation and to make timely intervention , improve the public 's transport experience .. RODAT have capture 8 million vehicle road movement per day since it go live in London . Transport of London now be able to understand and benchmark journey time , make appropriate intervention to regulate traffic flow and mitigate the impact of road project . Through RODAT the demand for London 's road can be effectively manage ."
