Reference Code,Solution Name (Eng),Solution Description,Cosine Similarity
S-0235,Pixel Eye Safety Helmets Detection,"Considering the large and increasing number of construction projects conducted in the HK, there is a growing need to develop innovative methods to monitor the safety of the workers at construction sites automatically.

We aim to automatically detect the uses of construction helmets (e.g., whether the construction worker wears the helmet or not) by analyzing the construction surveillance images. Based on the collected images, we first detect the object of interest (i.e., construction worker) and analyze whether the worker wears the helmet or not by using computer vision and machine learning techniques.",0.5596908330917358
S-0234,Pixel Eye Vision-Based Fall Detection,"AI can monitor what is happening at the sites. Solutions with surveillance, response, and warning system turn everything the cameras see into valuable information for analysis. It allows prompt response on emergencies and access controls for unsafety areas as well.

• 	Real-time: Able to detect objects in real-time with low latency and high FPS
• 	CCTV camera-based: Can connect to many popular CCTV cameras directly without any extra hardware installation
• 	Privacy protected: Mask Personally identifiable information and will not store those information in the database
• 	Multiple classes: Able to detect different types of objects at once in the same image",0.5532150268554688
S-0088,Public vehicle real-time arrival forecast system and real-time seat detection system,"SOCIF has developed a comprehensive intelligent travel IoT system for vehicles.By installing a GPS touch screen device on the vehicle, through our cloud computing algorithm, big data analysis and predictive analysis, we can obtain real-time arrival forecasts of any vehicles traveling on regular routes.By deploying our customized camera on the vehicle, through artificial intelligence, machine learning, deep learning and image analysis technology, it will detect human movement, flow, seat occupation, etc. in the vehicle (and even obtain its identity through facial recognition technology), So as to obtain the actual seat occupancy rate accordingly.

This system can promote real-time monitoring of public transportation or other departmental fleets, personnel deployment management, traffic analysis and city management.",0.5521314740180969
S-0099,NB IoT Sensor Solution,"Use sensors to detect temperatures, motions, thermal, water leakage or air quality... in any location and send the data through wireless network (NB IoT, LoRa, Sigfox, BLE, WiFi...) to servers/cloud for data analysis / monitoring and provide alerts to management when the conditions out of defined limited. The product helps organizations to collect data in remote area 24/7 and share data to improve private/public services.",0.5516313910484314
S-0239,InterOps Accelerator,"We developed our InterOps Accelerator (iA) to be a PaaS (Platform as a Service) ecosystem with the intention of automating processes to achieve reductions of MTTD & MTTR (Mean Time to Detection & Resolution,) gain efficiencies, and close the gap between IT operations & cybersecurity.  All with a goal of SecOps Automation.  

The challenges currently in Security Operations are 1) a shortage in skilled resources, 2) an increasing volume of threats and impossibility of relying upon manual operations, 3) a lack of integrated solutions (or Single Pane of Glass, “SPoG”) to visualize analyzed Big Data, automate in the resolution process to reduce cyber risks as rapidly as they are increasing.  We refer to the way we address the 3rd problem as AI2 or Artificial & Augmented Intelligence.

This ecosystem will provide preventative intelligence for any organization to address identified vulnerabilities and deploy tested remediations based upon community input or our PaaS validation to execute the resolution process with or without iA.  Or Preventative Intelligence can be accessed by subscription or without charge to reduce the MTTD & MTTR.",0.5474752187728882
S-0266,Site Audit and Inspection Recording System,"yonyou on-site management module can be divided into 3 parts:

1. Safety management: The system supports users to build customised forms, e.g. RFI forms, checklists and procedures according to the requirements of different projects

2. Project quality management:  With the engagement of Cloud computing with advanced mobile technology, yonyou facilities site safety management, including site photo upload, site inspection, rectification work suggestions, site incident/accident report, site record etc.

3. On-site accident management: The system provides automated processes to manage accidents on the sites to prevent recurrence. 

The system can also collect front-end data in real time and send it to the rear system for real-time analysis and reporting.",0.5453969836235046
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,"RODAT is an innovative solution using sensors and big-data analytics to bring real-time information to life through visualization. It boosts capabilities of city manager to monitor situations and to make timely interventions, improving the public's transport experience.",0.5437183976173401
S-0169,Robotic Assistant,"Provide intelligent robots as assistants to replace real people in public services to provide basic services for the public.
It can respond to simple common problems more efficiently, save manpower, be environmentally friendly and use human resource allocation more effectively.",0.5434907674789429
S-0036,Intelligent Traffic Monitoring,Track vehicles and car plates through surveillance cameras.  This helps to assist in monitoring the traffic condition from a mass surveillance scale by reducing manpower and can be used to specifically identify certain vehicles.,0.5410537123680115
S-0058,IoT Cybersecurity Testing and Certification Program,"As per Smart City Blueprint, the application on IoT technologies will be widely applied.  The monitoring and control on data flow and storage become a challenge.  Also, the growth of criminal cases related to cyber attacks are foreseeable.",0.5363869667053223
S-0120,Raspect-ACE,"RaSpect is an AI-powered predictive inspection company for Architecture. With the integration of IoT sensing technology and robotics system, the process of data collection is automated and standardized to achieve remote detection and real-time monitoring. Establish high-quality inspection big data, cooperate with deep learning, image recognition, data model analysis and other cutting-edge technologies to conduct early warning analysis for building safety. We can effectively assess the potential risks of architectures and calculate the degree of damage after comprehensive analysis of the above data. Our solution not only provides more accurate detection and analysis than traditional methods, but also saves more than 50% of time and cost. Our mission is to create a safer and smarter society through artificial intelligence detection technology.",0.5354281067848206
S-0065,Smart Mobility,"ZTE Smart Transportation will cover multiple transportation pipelines, transportation-related computers, communications, Internet of Things, and various technologies of the Internet, creatively summarized as a ""cloud-pipe end"" architecture.The ""end"" is the terminal, sensor and other facilities involved in traffic, which have the same important functions as the nerve endings of people.As the first step of smart transportation, the ""end"" realizes accurate information perception of people, vehicles, roads, and the environment.""Tube"" is the transmission channel of information, like nerves and blood vessels all over the body.The prerequisite for digitalization, informationization, and intelligence is the interaction of information.Providing interactive channels is an important part of smart transportation, which can support communication within vehicles, communication between people and vehicles, between vehicles, and between vehicles and infrastructure.The communication network that smart transportation relies on is a combination of wired and wireless networks, and a three-dimensional network that combines wide area and local area networks, macro cells, and vehicle-specific short-range communication systems.""Cloud"" is a variety of applications based on cloud computing and big data architecture, just like the human brain.",0.5302020907402039
S-0212,AI Solution for Outdoor People Counting without invading privacy,"Accurately measure & monitor the density of people at outdoor without violating privacy by collecting data from sensor solutions, for example thermal imaging or light detection and ranging.  The collected data will ingested to AI processing for dashboard building.",0.5258798599243164
S-0128,Iris by HKT - From Surveillance to Intelligence,"It is a managed video service cloud-based video management system. We offer a highly secured platform for easy view and playback via a centralized management of camera at multiple sites. The solution would turn unstructured data from video recordings into structured information e.g. People flow, Demographics, License plate recognition and Facial attendance taking.",0.5257311463356018
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,"Our tablets (Nilamtec T1P and T1F) and smartphones (Nilamtec A1P) use Real Time Kinematic (RTK) technology, and use the Hong Kong government's open data (Hong Kong Satellite Positioning Reference Station Network (SatRef) GNSS Raw Data Stream (RTCM) Format)), improve the accuracy of general GNSS positioning from ten meters to centimeters (horizontal and vertical errors can reach centimeter level). This tablet is simple and easy to use, the operator does not need to be trained in surveying work, in an open sky environment Download (such as rural areas), make centimeter-level measurements. The obtained data can also be uploaded in real time through the android application and shared with the team to improve work efficiency.

This equipment is particularly suitable for measurements requiring centimeters to meters, such as lamp posts, canal covers, fire hydrants, and trees coordinate measurement, underground facility path coordinate recording, land use law enforcement, civil/road and bridge engineering construction, airport construction, environmental protection information Records, etc. This equipment can also be connected to the BIM system (Note: Android software is required), and provide accurate on-site measurement data for construction records and analysis.

Users can save considerable time and cost of measurement work.",0.5252735614776611
S-0168,IXIA Vision ONE (Network Packet Broker),"Amplify your security without changing a cable. Ixia Vision ONE provides IT Operations the ability to deploy resources where they are needed most and secure any traffic in their network.

Ixia Vision ONE acts as the first step to security, providing reliable inline connectivity for security tools such as intrusion prevention systems (IPS), data loss prevention (DLP), and Web firewalls. It simultaneously connects out-of-band monitoring tools like intrusion detection systems (IDS) and data recorders.

Integrated intelligence features enable you to access encrypted traffic using SSL decryption, reduce analysis traffic using advanced packet processing, and precisely select traffic by application type, and geography. Ixia Vision ONE forwards selected traffic in a variety of formats to interoperate with any security tool.",0.5223870277404785
S-0031,PowerArena - Smart City Operations Platform,"The smart city applications of the PowerArena covers: 
- crowd management and analytics
- traffic analytics
- building facility monitoring and utilization 
- accident detection for public safety
- illegal action detection for law enforcement

Solution Overview:
PowerArena enables timely collection, analysis and dissemination of city operations information in the physical environment by using mobile, IoT, AI and Big Data technologies.

There are 3  components of the PowerArena Platform:

1) PowerArena Sense: a AI deep learning powered video analytics system, to analyze the video streams from the cameras, for objection and action detections. IoT sensors and 3rd system data can also be integrated. 

2) PowerArena Manage: a backend data streaming platform to connect PowerArena Sense, PowerArena Manage, PowerArena Act, for data processing, analytics and predictive modelling. A command dashboard is also available for administrators.

3) PowerArena Act, including:
- Mobile App: an internal app for field staff and operations team

- Data API for 3rd party Integration: PowerArena can also be integrated with other external systems (i.e. signage, mobile app, chatbot, etc.) via the API provided, in order to provide real-time information to the public.",0.5193098783493042
S-0229,SonoWatermark,"We make sound visible!
Our Watermarking-Technology catch the consumers' attention at the point of interest (POI).
SonoWatermark enable: 
1. direct sales via smartphone during watching TV
2. lead generation for advertisements
3. Live TV Show Voting",0.5192699432373047
S-0037,4D Immersive CAVE,"- Free from VR headsets, shared immersive experience for multi-user communication & collaboration
- First-person-view navigation in reallife 1-to-1 scale
- 3D preview future construction design: Simulate initial design concepts to identify and fix potential problems at early stage
- Construction progress management: Monitor and compare before-and-after processes
- Visualisation of interior design: Experiment with different furniture arrangements and room settings
- Interactive virtual training: Conduct occupational safety training courses by replicating scenarios that are dangerous and non-accessible (eg. fire scenes, working at height)",0.5168863534927368
S-0279,RoomQ virtual waiting room for massive traffic,"The COVID19 pandemic forced many traditional face to face offline activities to online. The architecture and throughput of legacy online portals built years ago are not designed for this overwhelmed demand.
With the latest cloud computing technology, RoomQ helps to streamline website traffic by setting up a virtual waiting room in front of the existing system. RoomQ acts as the frontline to buffer traffic so that the existing system will not be brought down to out of service. The integration is very minimal, as simple as a one-line code change. RoomQ also offers mobile SDK for existing mobile apps to integrate seamlessly. The service works under a SAAS (Software As A Service) model. It is the most cost-effective solution for expected or unexpected peak traffic.",0.5166383981704712
S-0180,AR/ VR/ Interactive Design & Development,"We have been heavily focusing on creating new experiences with Augmented Reality (AR) and Virtual Reality (VR) technologies that adds in a whole new dimension of sight, sound and interactive connections to brands and products. 

Virtual Reality (VR) lets users place themselves into a Virtual World isolated from their surrounding environment through wearing a Head Mounted Display (HMD) over their eyes. VR is ideal for training that aim to provide an environment for error-less learning, train the procedural memory, and provide priming for a repetitive learning environment. 

Augmented Reality (AR) is a powerful tool that combines elements of the Virtual World such as videos, computer graphics, and 3D models into the Real World.",0.5139719247817993
S-0300,Smart Guiding Robot,"Customized, Cloud-based, Intelligent Humanoid Service Robot.  Customers could interact with Cruzr via voice, visual video /picture and text. It is more convenient and efficient to get the product information and location with the guidance of Cruzr.  When Cruzr in stand by mode, it would welcome, inform and guide customer in an innovative way; Providing unique entertainment in an unique way.  Cruzr could guide the customer to the designated area and an introduction upon requirement.  The navigation is powered by U-SLAM, an abbreviation of UBTECH SLAM (simultaneous localization and mapping), which uses real-time positioning and mapping to avoid obstacles.",0.5132235884666443
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),"OMS proposes its camera solutions as a better alternative, which does not require elderlies using any wearable technologies, and could instantly detect a falling motion which alerts the person-in-charge. The AI solution components are facial recognition that differentiates the identity of all elderlies inside the center, 3D key-point recognition that detects the motion of falling, and object recognition that identifies objects that might cause the fall. The solution components are all under 1 system.",0.5130732655525208
S-0060,FROM Network Audit Programs,"The program is to assess the security of critical infrastructure to make government better prepared for smart city development concerning security aspect due to IT-OT convergence.  It is applicable for utilities, factories, building/properties management, etc.",0.5115290284156799
S-0019,Personalized Education System,"Our solution utilizes data analytics, emotion recognition, eye-gaze tracking and NLP (Natural Language Processing) to provide personalized education system such as advising, talent scouting and many more.",0.5113588571548462
S-0111,Smart car park solution,"Guoxiang Yuanchuang is a company cultivated by Cyberport. In addition to providing smart parking system solutions, we can also provide automatic parking system solutions. We have successful solutions in Hong Kong, China and overseas.

The solution we provide is expected to upgrade the parking lot, so that the parking lot can provide customers with a ""no-sensory experience"", faster and safer parking experience. At the same time, intelligent management of parking lots can be realized: 1. Intelligent management of entrances and exits, 2. Unattended management, 3. Electronic payment systems, 4. Intelligent management of operations, etc., and improve the efficiency of parking lots.

We provide the following application solutions: (brief description)
1. Users can search and reserve parking spaces outside the venue through the APP.
2. The user will be able to navigate to the designated parking lot through the APP. When you arrive at the parking lot, you will be guided to the reserved parking space.
3. We can provide aggregate payment methods for parking lots. It supports all mainstream mobile payment tools and traditional payment methods.
4. Reverse car search system: Users only need to enter their license plate to know where the car is parked and guide them to the parking position.

In addition, we propose a hybrid biometric and license plate recognition system. Realize the automation and intelligence of the parking lot security work, and manage it in the form of computer network, effectively and accurately monitor and manage all the vehicles at the entrance and exit, and the accuracy of the identification system can reach 99%, which effectively improves the parking lot It also helps the management of the parking lot.",0.5111570954322815
S-0081,iQ-Road and Traffic Management,"IQ-Road & Traffic is a comprehensive portfolio of applications that can fulfill each department’s specific requirements while operating as a single integrated system to ensure quick distribution of information to all concerned when any event occurs. The software can cope with complex and changing environments, such as
different time periods for parking regulations, parking specifications for particular vehicles, and the flexibility to meet any unexpected incidents. WildFaces also has a comprehensive monitoring system to monitor the entire city’s traffic, from high speed freeways to low-speed areas, such as schools, shopping malls and hospitals. Many other monitoring systems, require induction loops, radar and other technology that require civil works.",0.5095512866973877
S-0254,FormExtractor,"FormExtractor is a versatile service that uses artificial intelligence (AI) and optical character recognition (OCR) technologies to automatically capture, index, and extract data from physical forms and documents and convert them into structured digitalised data that can then be subsequently processed by other software, applications, or systems. 

FormExtractor is designed to help automate business processes and streamline customer experiences. FormExtractor currently has native support for the data extraction of these documents: business registration, food, travel agency, and hawker licenses in Hong Kong; identity card (ID) information in Hong Kong; and general shopping receipts.",0.5078733563423157
S-0072,Digital Twin of the City (or Town),"To enable easy visualizations of all BIM data for a city or a district including building information, public infrastructure information, environmental and traffic information and utilities infrastructure information. Connecting the city IoT sensor data to give real-time Digital representation of the Physical infrastructure. This will help the city management to plan, operate and coordinate public services according to the needs of the citizen.",0.5078690052032471
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,"Accurate and quick people/object digital vision counting method enables substantial energy saving from air-conditioning system on part-load occupancy, and zonal people counting can create time-based heat-map on occupancy density for better space utilization management reducing people conflict over room booking.",0.5054935216903687
S-0241,Intelligent Data Platform,"""Intelligent Data Platform"" is a total solution which (1) automates the process of data mining process, (2) provides a platform for searching, analyzing and visualizing large amount of text data in different formats. This enhances users' capability to quickly collect data to find insights from a large amount of unstructured data. 

The ""Intelligent Data Platform""  is unique with the following features: (1) a powerful search algorithm that can match similar contexts and supports complex search logics, (2) customizable filter to narrow down the results according to customized rules and taxonomy, (3) similarity search to automatically find related documents, (4) machine reading extraction that supports OCR and more complex extraction rules, (5) support integration and add-ons such as RPA, ERP and chatbots. 

The types of data format we support include but not limited to PDF (text-searchable or image), JPEG, TIFF, PNG, DOC/DOCX, XLS/XLSX, etc. 

Key benefits: 
1. Smarter than “Google” with customizable synonym dictionary. 
2. No more ""Ctrl+F"": the solution saves time with click-to-highlight function to pinpoint key phrases from any hundred pages of documents. 
3. Customizable filter to allow flexibility to add and edit filters
4. Fast ROI: browser-based, easy to deploy and operate.",0.5042037963867188
S-0110,People Counting System (PCS),"Heatmap and Traffic Flow Analyze provides heatmap, dwell time/dwell count and traffic flow information for retailers to better understand their customer traffic and behavior and for conversion rate analysis. Real-time analysis data is available through our web-based CMS which can be accessed via mobile phone or PC browser.",0.5035380125045776
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),"‘ATAL’s Cloud-based Chiller Plant Energy Management Platform’ is an award-winning solution at the Hong Kong ICT Awards 2019 in the category of “Big Data & Open Data Applications”. This platform is an all-in-one intelligent system leveraging big data analytics and machine learning (ML) for achieving building energy efficiency and sustainable development. ATAL’s Dynamic Optimisation is built upon the basis of self-trained physics-guided machine learning (ML) models using actual operating data. This ensures energy performance of the whole chiller plant being optimised in real-time using advanced modelling and optimisation techniques.  Buildings can achieve up to 30% energy savings on chiller plant operations with the use of the platform, depending on the building types and the buildings’ current energy performance.",0.5017982125282288
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)","""Wensheng"" remote population health survey and return visit service system, combined with voiceprint recognition VPR, voice recognition ASR, natural language understanding NLP, voice synthesis TTS and other AI technologies, automatically provide target groups (such asPersons quarantined by the epidemic) call to help government agencies quickly collect and build personnel information and health status files during a specific period (such as the 14-day quarantine period), automatically track them every day, and regularly generate statistical reports for managementInstitutions quickly grasp all key information.",0.5005196332931519
S-0009,Precise And Responsive Indoor Location Tracking,"Through wireless transceivers receiving Bluetooth Low Energy (BLE) signals from smartphones or BLE-enabled tags, and processing the data on Clouds, we provide an precise and responsive tracking and navigation solution. Visitors of museums and libraries will have a better experience with a precise and responsive navigation. Mobile assets like movable exhibits and library trolleys can be tracked in real time for monitoring.",0.49984729290008545
S-0157,NLP-powered Chatbot by Xiaomi,"Founded in 2001, Shanghai Xiaoi Robot Technology Co. Ltd (Xiao-i) is a leading AI company that specializes in multilingual natural language processing, deep semantic interaction, speech recognition, machine learning and other cognitive intelligence technologies. Its self-patented NLP-powered Chatbot Solutions possess the following capabilities, 
-intent recognition and processing 
-dialog management 
-contextual awareness
-exception handling
-task automation 
-omnichannel enabled (eg. Web , APP , Facebook , Whatsapp , Physical robot…)
-easy integration and implementation 
-machine learning 
-biliteracy and trilingualism supported 
The state-of-the-art solution has helped more than 1,000 government organizations and corporate clients across APAC region in facilitating digital transformation, promoting business reinvention, enhancing user experience and striving for operational excellence, with its end users amounted to 800 million.",0.4991918206214905
S-0048,AI-based Application,"ARTIFICIAL intelligence already helps run government, with cognitive applications doing everything from reducing backlogs and cutting costs to handling tasks we can’t easily do on our own, such as predicting fraudulent transactions and identifying criminal suspects via facial recognition. Indeed, while we expect AI-based technology in the years ahead to fundamentally transform how public-sector employees get work done—eliminating some jobs, redesigning countless others, and even creating entirely new professions—it’s already changing the nature of many jobs and revolutionizing facets of government operations.

It’s highly unusual for a business improvement to increase speed, enhance quality and reduce costs at the same time, but cognitive technologies offer that tantalising possibility.",0.4985608756542206
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,"Pyxis service system is an Internet of Things (IoT) based solution targeting primarily the civil engineering and construction industry.  Real time monitoring of activities at construction sites utilizing sensors connected to the system ensures site safety for workers and quality of work.  Trustworthiness of reported data can be greatly increased by machine to machine handling process.

Users can configure different levels of safety warning signals according to job specific requirements in addition to a default (alert, alarm and action) 3A system for individual sensor.  If any of the measured readings reaches the trigger level, warning signals will be sent to users’ receiving devices, (including mobile phones, smart watches or PCs), to notify them.

Accordingly, Pyxis can detect unsafe conditions at the very early stage and thus acts as a shield to protect workers from being injured due to unforeseeable factors.

Besides construction applications, Pyxis can provide management related solutions to a wide variety of city management challenges by the afore-mentioned approach.",0.4979621171951294
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",The Sky Drone 'Autonomous Drone Solution' allows fully automated aerial missions with no pilot required. It provides instant aerial intelligence via the 4G/5G network and can be controlled from anywhere using a secure web interface.,0.4977768361568451
S-0167,IXIA ThreatARMOR,"Help Protect from Zero Day Malware Mutations 

ThreatARMOR™ cuts straight to the core of the problem by automatically blocking much of the network communication that malware needs to download instructions or transmit sensitive data. It prevents network probes, phishing clicks, and all traffic to and from untrusted countries. This reduces the risk from attacks such as zero-day ransomware mutations along with up to 80% of the malicious connections that threaten the network and generate floods of security alerts. Ixia’s ATI Research Center provides an always-on stream of geolocation and threat intelligence for ThreatARMOR—individually validating every single blocked IP address, every single day. Detailed Rap Sheets provide clear, on-screen proof of malicious activity for all blocked sites to mitigate the risk of false positives.",0.4957807660102844
S-0181,Artificial Intelligence Camera Solutions,"Bayesian Tech specializes in video related technologies. We utilizing our artificial intelligence technology with hardware to complete tasks such as detection, notifications and prediction.

Our solution enable AI Recognition of be completed on local site instead of cloud servers. This way we can have much faster response time and stability. Also as the recognition is being completed locally, all video data will not leave the local intranet, hence protecting privacy.",0.49274182319641113
S-0039,iQ-Dwell Time Management System,"WildFaces' iQ-Dwell Time Management System can analyse crowd behaviour and dynamics anonymously in real-time, which can help manage dynamic queues in crowded places aiming to reduce congestion and distribute traffic in the most optimal way. 

Our system can calculate individual travel times as well as average travel times between multiple points. This is also useful for managing Queues. The privacy of individuals can be completely protected as the actual images can be anonymized such that general operators cannot see the faces. Only authorized officials can actually see the face of the person.

The system provides a useful dashboard with sufficient information such as average dwell time, individual dwell time, demographics statistics to manage queues and historic data that can be analyzed to understand the routes that people take through an environment and how long they spend in each place.

If we can tag people, we can tag vehicles as well, using license plate recognition, making this solution also applicable to road and traffic management.",0.4924156069755554
S-0191,NoQ E Form registration and quota distribution for massive traffic,"NoQ offers an innovative way to record E-form entries that expect tens of thousands or even millions of visitors in a short period of time. It has a built-in anti-bot function to avoid DDoS attacks. The solution is based on the latest cloud technology and it is well proven in many scenarios including masks sales or free mask distribution during the COVID-19 epidemic situation.
The traditional public facing online systems that require users to input data always fail to operate due to the overwhelming number of visitors. Server failures contribute a very negative image to the public and generate negative media coverages. To all kinds of public facing registration systems, especially when the registration is first-come-first-serve, improving the performance of the system is critical to service level and public relation concern.",0.4923994541168213
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,"AIOps, or Artificial Intelligence for IT Operations, is the next generation of IT operations analytics.
User could unify and Modernize Increasingly Complex IT Operations with AIOps.

We would like to bring Dynatrace Solution, a worldwide famous solution with Top Gartner ranking.
This is all-in-one advanced observability, with AI-assistance, enabling users to automate operations, release faster, and deliver better business outcomes.

AIOps applies machine learning and advanced analysis techniques to determine patterns in monitoring, service desk, and automation data.

""The AIOps platform combines big data and machine learning capabilities to support all major IT operations functions by receiving and analyzing the increasing amount, variety and speed of data generated in a scalable manner.""
-Gartner

Large organizations are faced with insufficient IT support staff or insufficient knowledge points, but at the same time they have to improve service quality to face the ever-increasing service quality of customers. An aging population will make it more difficult to find suitable IT staff. AIOps can help organizations solve this problem.",0.4919431805610657
